,intensity,length_ms,zero_crossings_sum
76,-29.17090167,3837,11649
77,-33.58251639,3337,11335
78,-34.88712042,4872,11493
79,-36.19172445,4304,14035
80,-34.22621005,4872,10736
81,-32.65850794,4238,12201
82,-37.32230152,4471,18187
83,-31.46883764,3704,7579
84,-32.50861659,3837,16873
85,-33.54839554,3570,12962
86,-34.58817449,4471,17592
87,-36.154490605,5172,11343
88,-37.72080672,5239,9257
89,-40.65152703,4037,18159
90,-38.7821717,3504,8106
91,-40.17889805,3837,10146
92,-48.79805947,3570,6659
93,-40.77405957,4872,9966
94,-32.75005967,4137,12917
95,-31.5086356,4271,12506
96,-38.26063892,3203,9967
97,-45.01264224,3470,10253
98,-35.42313904,4238,13291
99,-28.73261504,4438,12299
100,-24.63107162,4471,12927
101,-20.5295282,3237,11601
102,-33.71006478,3537,10003
103,-32.15002827,3637,11594
104,-45.25193808,3303,10357
105,-40.006200165,3437,10894
106,-34.76046225,3470,11427
107,-33.54747866,3237,7766
108,-32.33449507,3303,6305
109,-31.604350975000003,4638,13082
110,-30.87420688,5005,11505
111,-28.401533225,3504,7103
112,-25.92885957,3504,12235
113,-23.456185915,3904,14783
114,-20.98351226,4404,19641
115,-30.3442585,3737,8567
116,-39.70500474,3203,7569
117,-31.3505263,4738,13041
118,-41.287337405,4671,10120
119,-51.22414851,3136,8217
120,-51.92743685,4004,15204
121,-49.96833191,4638,7997
122,-49.580691858,4705,10153
123,-49.193051806,3504,8138
124,-48.805411754000005,3136,10722
125,-48.417771702,3136,7831
126,-48.03013165,3737,16234
127,-42.00953174,4438,12399
128,-39.88623703,3637,7682
129,-24.72022293,4805,16591
130,-28.0908916425,3804,18873
131,-31.461560355,3637,8699
132,-34.8322290675,3604,11715
133,-38.20289778,3203,10482
134,-25.26164841,4705,14471
135,-44.73392668,3403,5733
136,-41.555491735,3303,14659
137,-38.37705679,3504,10279
138,-30.5022216,4938,10555
139,-34.84258514,3403,10057
140,-39.18294868,3237,9291
141,-31.38978463,3937,12530
142,-42.59687323,3704,9883
143,-35.16107812,3704,10463
144,-45.331411515,3170,7890
145,-55.50174491,4137,12591
146,-47.89752008,4338,9709
147,-49.28054706,4972,13015
148,-50.66357404,3604,12140
149,-49.80288139,3337,9467
150,-55.98893183,3837,11483
151,-51.74262776166667,5105,10767
152,-47.49632369333333,5506,10960
153,-43.250019625,4738,16563
154,-39.00371555666666,4238,16645
155,-34.75741148833333,3537,8546
156,-30.51110742,3504,10859
157,-32.88922242,4137,9257
158,-29.920973695,4471,12904
159,-26.95272497,3437,8633
160,-23.984476245000003,3470,9715
161,-21.01622752,4104,17272
162,-49.17090167,3237,6932
163,-37.96899188,3770,13007
164,-32.943137539999995,3303,10350
165,-27.9172832,4471,12149
166,-38.26779887,4605,10536
167,-26.42981914,4137,14783
168,-55.19150159,3670,9674
169,-53.0425415,3570,9051
170,-31.99045447,4438,10989
171,-58.71332677,3170,9149
172,-47.618074145,3237,9159
173,-36.52282152,4605,12599
174,-19.82627117,4371,13193
175,-50.84644163,4605,11426
176,-21.98617808,4104,15261
177,-40.82467342,4738,12279
178,-28.90824137,4504,12009
179,-31.97991973,3504,15765
180,-31.24347197,3637,10927
181,-44.46387727,3203,7944
182,-30.62745802,3871,10110
183,-38.03216226,4238,10946
184,-35.65799699,4605,13667
185,-33.28383172,3837,11230
186,-45.44823773,3237,9585
187,-44.46387727,3303,6634
188,-47.14174886,3871,14093
189,-41.3348723,4504,10118
190,-40.82467342,4705,6367
191,-49.17090167,3570,7371
192,-41.74630282,3737,10199
193,-41.29252502,3737,7491
194,-40.83874722,3303,7670
195,-40.38496942,4504,6981
196,-39.93119162,4304,10063
197,-39.47741382,4438,10103
198,-37.28343842,4137,6069
199,-40.31525705,3437,8161
200,-34.39139835,4037,13654
201,-34.40532923666667,3403,11593
202,-34.41926012333334,4771,11461
203,-34.43319101,4171,12264
204,-32.71561459,4004,10376
205,-32.332003275,3504,10612
206,-31.94839196,3504,10669
207,-56.15759518,3470,11094
208,-47.32461645,5372,9491
209,-63.8646128,3403,9006
210,-44.50830647,4204,13843
211,-37.875889220000005,3303,6956
212,-31.24347197,5005,13563
213,-26.91551002,5305,16848
214,-31.745891665,4438,12582
215,-36.57627331,3637,11941
216,-34.41716821,4071,13447
217,-32.25806311,4371,9327
218,-43.5001164,4471,10263
219,-33.50687681,4538,12917
220,-32.36745864,4638,9749
221,-36.75685964,3804,12086
222,-46.129302275,4271,12265
223,-55.50174491,3904,15912
224,-45.34953337,5339,8819
225,-44.15907794,4371,8113
226,-38.72145483,3637,10875
227,-33.28383172,4438,12263
228,-35.11564181,4738,13225
229,-34.46116491,3770,13789
230,-42.63269138,4071,13569
231,-44.73392668,3937,10327
232,-38.28954079,4705,12666
233,-39.40285637,4805,13833
234,-44.24507755,4938,9139
235,-32.23634838,4238,14969
236,-25.7770006,3937,13303
237,-44.82584171,4104,12494
238,-39.18294868,4671,8545
239,-49.40253912,3637,11961
240,-43.11228905,3504,6479
241,-60.48176482,3370,8677
242,-53.60788122333334,5172,11143
243,-46.73399762666666,4438,18477
244,-39.86011403,5239,15997
245,-52.5791842,3604,9769
246,-46.17248118,3937,13111
247,-40.2604563,3737,12905
248,-24.00639236,4338,17189
249,-29.08749223,3971,15009
250,-28.06360333,4605,21445
251,-19.61578718,3971,25095
252,-27.67021279,3770,18945
253,-32.88922242,4705,23163
254,-29.70510299,4037,16193
255,-34.517018225,4404,10551
256,-39.32893346,3904,16983
257,-43.26534834,3670,18369
258,-43.11361431,4404,10427
259,-42.96188028,3770,15721
260,-48.65329129,3604,10049
261,-40.95993309666667,5038,11067
262,-33.266574903333336,4605,19874
263,-25.57321671,4071,14843
264,-28.08235413,3537,9979
265,-30.59149155,3470,15834
266,-26.39653983,4137,15789
267,-21.46567698,4805,24982
268,-37.34179848,3570,13073
269,-40.83852094666667,3904,22352
270,-44.33524341333333,4404,19944
271,-47.83196588,3604,6123
272,-30.54546681,4605,16089
273,-28.36385251,3604,10505
274,-26.988722655,4037,11299
275,-25.6135928,3937,13096
276,-38.7362145,5205,13565
277,-38.39907426,4938,13693
278,-36.81177588,3670,9096
279,-42.387674335,3570,8955
280,-47.96357279,3637,9551
281,-36.05600467,3704,10662
282,-31.00496468,4504,12146
283,-24.10363137,4338,11811
284,-32.28685134333333,3470,6399
285,-40.47007131666666,3237,6043
286,-48.65329129,4371,10887
287,-49.72132315,3537,4721
288,-47.88499720571429,3437,11447
289,-46.048671261428574,3570,16403
290,-44.21234531714286,3403,17779
291,-42.37601937285714,4271,18335
292,-40.53969342857143,3737,15794
293,-38.70336748428572,4238,13533
294,-36.86704154,4671,13163
295,-37.314361555000005,3971,8961
296,-37.76168157,3737,17352
297,-37.10470973,5172,21204
298,-36.44773789,4838,19358
299,-35.48525359333333,3237,8205
300,-35.17974113666667,3637,10137
301,-34.87422868,3670,18055
302,-34.56871622333333,4304,16055
303,-34.26320376666667,3537,13191
304,-33.95769131,4137,16389
305,-36.68417395,3737,16349
306,-38.298306385,3370,14189
307,-39.91243882,3537,9191
308,-51.32119857,3570,10295
309,-50.39629481,3403,9315
310,-38.7821717,4371,14819
311,-41.81136597,3537,13109
312,-25.62878235,4271,16799
313,-34.37751203,3470,15251
314,-34.70008740666667,3437,17365
315,-35.02266278333333,4104,18605
316,-35.34523816,3470,13605
317,-23.8977651,4671,23526
318,-23.506923975,3237,8358
319,-23.11608285,5038,19509
320,-38.28954079,3303,16811
321,-21.08803687,4171,16332
322,-22.122980585,3403,14745
323,-23.1579243,3770,16005
324,-27.4199430075,3704,20315
325,-31.681961715,3737,18484
326,-35.943980422500005,4338,13407
327,-40.20599913,4571,11463
328,-44.564406745,3871,10795
329,-48.92281436,3403,7175
330,-53.281221975,3570,9035
331,-57.63962959,3637,7503
332,-36.45206031,3904,9531
333,-33.13825475,5405,11849
334,-41.36583807,5005,14994
335,-51.22414851,3604,9843
336,-34.47518572,4071,14931
337,-31.85448954,4104,13838
338,-47.63822053,3637,9367
339,-33.39463834,4938,15343
340,-33.12623275,4638,15711
341,-30.65453095,4171,16703
342,-22.943261,3837,15317
343,-31.38866518,3670,11029
344,-39.83406936,5205,16749
345,-42.85075864,5305,11489
346,-19.40780701,3837,14425
347,-60.48176482,3637,8857
348,-29.15567662,3804,14737
349,-29.20908147,5138,19453
350,-32.89287308,3904,12151
351,-36.57666469,3470,16668
352,-40.2604563,3704,19078
353,-37.98999767,3403,11777
354,-30.64507962,5305,14245
355,-23.30016157,4271,16387
356,-24.3687680175,3670,11859
357,-25.437374465,3604,14413
358,-26.5059809125,4371,17203
359,-27.57458736,3737,17555
360,-36.07285412,4371,17063
361,-27.53031989,4872,18900
362,-28.919659295,4504,13085
363,-30.3089987,4204,20185
364,-29.65662348,3770,17975
365,-35.6611235,3871,17072
366,-38.8052418,3570,18419
367,-35.62901297,4304,13689
368,-27.8843696,5072,18101
369,-35.04043883,5405,15791
370,-30.94868442,4638,15234
371,-48.58180209,3837,12647
372,-44.169101385,3437,11297
373,-39.75640068,4004,15379
374,-24.7889589,4438,14263
375,-18.5570241,4538,19912
376,-31.422711445,3403,10377
377,-44.28839879,3637,6777
378,-43.50659015,3670,13935
379,-42.72478151,4171,18990
380,-41.94297287,5072,9853
381,-30.61845243,4771,18161
382,-30.86494193,3837,13401
383,-30.149419045,4304,17704
384,-29.43389616,4705,10753
385,-34.99549691,4738,10557
386,-40.55709766,4438,12306
387,-46.11869841,4338,14809
388,-43.20325593,3904,10203
389,-40.28781345,4571,15761
390,-36.52282152,4638,12560
391,-36.68417395,5539,14721
392,-35.06736912666667,3937,11002
393,-33.45056430333334,4137,13328
394,-31.83375948,4171,11071
395,-30.80955881,3937,12031
396,-27.40377341,3704,10174
397,-23.99798801,4571,13870
398,-43.74140663,4504,10886
399,-40.17889805,4338,9239
400,-41.8377411,4371,11078
401,-43.49658415,4805,16022
402,-45.1554272,4171,16891
403,-28.91563676,4204,12619
404,-37.1106747,4938,12881
405,-44.119422775,4805,17491
406,-51.12817085,3670,6911
407,-36.79343187,3837,10927
408,-33.97993331,3470,10721
409,-31.16643475,4104,17017
410,-37.07274499,4137,8697
411,-37.201732756666665,3337,14071
412,-37.33072052333333,4271,15731
413,-37.45970829,4504,11550
414,-43.90607298,4571,11169
415,-50.39629481,5072,11479
416,-51.54451083,4104,9849
417,-52.69272685,3136,8647
418,-44.168890125,3737,10626
419,-35.6450534,3370,12401
420,-34.92881926,4504,10661
421,-34.21258512,4438,8955
422,-29.70510299,4605,17527
423,-34.50329542,4238,10872
424,-38.06045802,3937,11287
425,-41.61762062,3470,6525
426,-36.87182574333333,5839,21726
427,-32.12603086666667,4238,12780
428,-27.38023599,4171,11189
429,-29.29367247,4671,12393
430,-43.673497015,3337,8108
431,-58.05332156,3637,10866
432,-51.39362412,3670,10863
433,-44.73392668,6106,10813
434,-39.75640068,5105,9140
435,-47.17940134,3604,10267
436,-54.602402,4338,14699
437,-27.05173883,4037,12353
438,-31.90703276,4671,11727
439,-36.76232669,4438,13193
440,-41.61762062,4137,24330
441,-17.07085284,4338,27290
442,-53.0425415,3804,9812
443,-54.7738093,5572,11661
444,-56.5050771,3203,7657
445,-42.31552427,4338,12000
446,-38.82263287,3337,8409
447,-35.32974147,3770,9759
448,-43.98959179,4037,10751
449,-33.86563711,4404,12549
450,-31.45891658,4771,10263
451,-38.283243760000005,3971,11514
452,-45.10757094,3504,8740
453,-39.75640068,4504,5777
454,-35.64136389666667,4338,13890
455,-27.41129033,3203,10098
456,-23.18083216,3403,14025
457,-37.96899188,3337,9649
458,-36.02380381,4104,10391
459,-34.07861574,4338,11026
460,-32.13342767,3437,14797
461,-30.1882396,3570,12334
462,-35.62463917,3537,8884
463,-41.06103874,3070,9051
464,-37.7892116,3470,9600
465,-34.51738446,4371,13649
466,-43.61992368,3470,9019
467,-38.99204233,3403,11221
468,-36.0224035,5005,16139
469,-39.42380201666667,3203,9201
470,-42.82520053333333,4071,13197
471,-46.22659905,3170,8237
472,-45.95931981,3737,10873
473,-37.86471824,4271,13143
474,-33.34521636,4638,8863
475,-40.365827175,3403,9203
476,-47.38643799,3504,7747
477,-44.86831826,5405,13307
478,-42.35019853,3737,8972
479,-41.7139531,3470,17127
480,-47.02194158,3837,13109
481,-37.84839744,3470,8508
482,-28.6748533,4771,15371
483,-43.947732,3737,12917
484,-43.906271196666665,4338,13701
485,-43.864810393333336,3604,12527
486,-43.82334959,3370,12401
487,-43.91800502,4004,12191
488,-44.01266045,3237,9781
489,-44.10731588,4371,14717
490,-44.20197131,3070,9364
491,-42.59687323,4304,10553
492,-38.53001375666667,3070,10017
493,-34.46315428333333,3604,8034
494,-30.39629481,3270,9821
495,-32.94158396,3670,11115
496,-35.48687311,3470,13433
497,-38.03216226,3670,12877
498,-39.65065532333333,4404,11631
499,-41.26914838666666,4872,9480
500,-42.88764145,4037,12286
501,-44.15907794,3871,9621
502,-40.358748705,5005,9718
503,-36.55841947,5172,11236
504,-40.23047543333333,3971,10499
505,-43.90253139666667,3737,10999
506,-47.57458736,4104,11331
507,-39.65391112,4104,10981
508,-45.80281306,4104,9965
509,-46.041934635,5105,12663
510,-46.28105621,4905,11818
511,-47.19398377666667,3136,9269
512,-48.10691134333333,3604,11279
513,-49.01983891,3537,10154
514,-42.07495285666666,3537,9907
515,-35.130066803333335,5272,11557
516,-28.18518075,4404,11466
517,-26.05991948,4371,17204
518,-35.26802974,3604,14106
519,-37.72080672,3537,11885
520,-24.17620988,4204,10148
521,-20.49017459,4171,10809
522,-31.10910193,4271,11979
523,-25.71536185,5172,19044
524,-30.35253708,3804,14724
525,-28.37079844,3837,13729
526,-33.60787666,4671,12485
527,-28.89346944,4872,20713
528,-34.1208224275,4404,12643
529,-39.348175415,4838,12833
530,-44.5755284025,4137,14449
531,-49.80288139,3203,8929
532,-49.09504189,3403,12935
533,-41.18167804,3837,17359
534,-42.52567701,4271,10598
535,-45.34953337,4738,10337
536,-42.144554346,4705,13141
537,-38.939575322,3270,6619
538,-35.734596298,4671,14317
539,-32.529617274,4771,14427
540,-29.32463825,3203,6737
541,-36.00565154,4638,13575
542,-32.12858161,4571,14153
543,-24.59785252,4805,17251
544,-25.5567801575,3837,13025
545,-26.515707795,3504,10361
546,-27.4746354325,4738,17741
547,-28.43356307,4671,17445
548,-31.30270059,4037,20189
549,-34.17183811,4204,20334
550,-45.59842976,5372,14867
551,-36.70228843,4438,16505
552,-36.73863112,4571,17373
553,-39.03937699,4538,16196
554,-40.312561375,3871,17777
555,-41.58574576,4037,16999
556,-32.75005967,3871,13625
557,-27.49883784,4738,16483
558,-31.975449075,4538,16095
559,-36.45206031,4404,14759
560,-35.38712401,4671,18231
561,-34.32218771,3804,17341
562,-32.51015610333334,3670,12112
563,-30.69812449666667,4404,14035
564,-28.88609289,4504,15428
565,-30.16754986,4638,19005
566,-31.44900683,4605,16349
567,-39.27999874,3704,12141
568,-42.38501176,3604,10370
569,-56.15759518,3504,12227
570,-55.151710314,4738,15307
571,-54.145825448,5606,15369
572,-53.139940582,3604,11609
573,-52.134055716,3737,10973
574,-51.12817085,3637,12892
575,-32.45597802,5072,16449
576,-41.15136076,3637,10439
577,-40.15510771,3937,16407
578,-39.15885466,3370,14358
579,-47.38643799,3437,11128
580,-48.79730188333333,3504,9105
581,-50.20816577666667,5606,15682
582,-51.61902967,3537,11772
583,-45.49801373,3871,11577
584,-45.75902789,5005,12379
585,-46.02004205,5339,12129
586,-46.28105621,4137,12745
587,-21.10006302,3604,19482
588,-26.99817716,3637,7470
589,-29.89348894,3470,13209
590,-32.22551133,4471,12975
591,-38.33318856,4605,17871
592,-31.77727835666667,3637,20165
593,-25.221368153333337,3704,9054
594,-18.66545795,4104,20953
595,-29.315269345,3203,13792
596,-39.96508074,4204,19560
597,-39.66443429666666,4071,20083
598,-39.363787853333335,3237,17021
599,-39.06314141,3237,10233
600,-42.432977235,4338,18040
601,-45.80281306,3504,15519
602,-45.26919914333333,3737,16158
603,-44.73558522666666,3570,12048
604,-44.20197131,3837,11589
605,-36.95993964,5372,12813
606,-36.22598836,4838,14431
607,-41.42810278,3604,12237
608,-45.49801373,3804,10717
609,-48.304715816666665,4471,17129
610,-51.11141790333333,3570,8263
611,-53.91811999,3470,8245
612,-22.93954193,4972,20201
613,-47.83196588,3136,11365
614,-36.63005608,3303,12826
615,-30.93000508,4004,19848
616,-34.9956276,3403,13467
617,-34.70265246,3604,10905
618,-34.87068609666667,3604,15717
619,-35.03871973333334,4271,14331
620,-35.20675337,3737,16169
621,-31.25338194,4371,17289
622,-27.30001051,3804,17405
623,-26.005554805,3837,19631
624,-24.7110991,3604,14601
625,-20.70598419,4137,25826
626,-31.36823174333333,5405,22522
627,-42.03047929666667,3370,14405
628,-52.69272685,3770,10389
629,-44.988082635,4438,9591
630,-37.28343842,5539,13227
631,-36.68417395,3637,10283
632,-57.43994517,3504,8189
633,-48.836565105000005,3437,8905
634,-40.23318504,3470,9127
635,-28.22608769,4938,17215
636,-46.50236474,3537,10642
637,-30.89276648,4204,19417
638,-41.058457495,3937,19171
639,-51.22414851,3470,9019
640,-40.07133148,4838,14329
641,-38.22447764,5072,13739
642,-31.357492575,3737,9617
643,-24.49050751,3837,16195
644,-27.70232333,4371,14733
645,-29.302410815,4838,14573
646,-30.9024983,3737,16285
647,-32.502585785,4071,8199
648,-34.102673270000004,3770,12791
649,-35.702760755,5105,9561
650,-37.30284824,4838,13679
651,-37.82335678,3437,14073
652,-39.3240151,4271,22167
653,-40.82467342,3537,16240
654,-35.88928382,3804,17839
655,-36.96314461333333,5372,21261
656,-38.037005406666665,3770,18449
657,-39.1108662,3403,12729
658,-35.351232759999995,4371,18705
659,-31.59159932,4304,11435
660,-27.83196588,3770,15635
661,-40.59457017,4404,17897
662,-27.950322,4972,18985
663,-35.37631472,4371,11515
664,-33.64605646,3504,15907
665,-32.63577,4037,14007
666,-28.74711569,4538,18724
667,-34.65954622,4605,11937
668,-29.65352271,4938,18100
669,-24.6474992,4338,13253
670,-40.12494825,4104,14037
671,-49.481145,4104,11091
672,-31.17602712,4605,17622
673,-38.48770656,5639,13509
674,-25.98040208,3837,18340
675,-37.20623,4071,9531
676,-41.90988373,3570,7271
677,-36.55841947,3537,7779
678,-20.76946938,4538,26293
679,-31.84411833,4671,12293
680,-28.17838162,3570,12367
681,-28.390784375,4137,15405
682,-28.60318713,4571,20151
683,-34.31061539,4805,11849
684,-40.01804365,4638,14699
685,-35.98893183,4471,14358
686,-34.40530691,3837,11974
687,-34.30841151,4438,18486
688,-30.33509553,4571,14704
689,-31.96917619333333,4571,13593
690,-33.60325685666666,3570,12266
691,-35.23733752,4204,14661
692,-32.977684365,3837,10559
693,-30.71803121,4938,18857
694,-30.49334486,4271,11515
695,-42.14419939,4304,9453
696,-33.13455725,4171,10015
697,-24.12491511,4571,14326
698,-44.24507755,3403,8520
699,-30.75452659,3670,11779
700,-41.288969785,3837,10631
701,-51.82341298,3437,9513
702,-21.31943072,4771,14810
703,-39.6031163,5005,13483
704,-30.67262656,4271,12493
705,-33.30579574,4838,17182
706,-31.86487315,4137,12942
707,-51.32119857,3337,8863
708,-40.94205209,3804,13890
709,-54.05073157,3537,11856
710,-37.76168157,4071,11803
711,-40.48176482,5839,10291
712,-42.85075864,4638,11271
713,-39.25563438,4271,9739
714,-42.81403178,3904,16088
715,-39.80810256,3337,10366
716,-39.15885466,3670,11143
717,-34.961264555,4304,11524
718,-30.76367445,4771,14133
719,-36.54060226,4404,7777
720,-38.15937305,3937,11031
721,-39.77814384,3570,8178
722,-41.39691463,3337,8753
723,-37.31650196,4171,13300
724,-33.23608929,4171,13407
725,-29.15567662,3937,10993
726,-25.32503155,5205,21701
727,-35.668576645,3537,8301
728,-46.01212174,3737,13081
729,-49.32463825,3537,11619
730,-39.5024092,5239,11555
731,-39.86011403,6006,13968
732,-40.01804365,3670,12769
733,-57.84401289,3103,8657
734,-19.64881825,4805,15450
735,-43.98959179,4171,13751
736,-40.238480325,4605,12751
737,-36.48736886,4671,10079
738,-32.9950775,3837,12197
739,-39.73066469,5138,10909
740,-47.38555176,3437,8305
741,-55.04043883,3570,9785
742,-55.350781165,4271,12497
743,-55.6611235,3337,9513
744,-47.45837894,3770,13929
745,-39.25563438,3604,9665
746,-35.44744366,4738,12375
747,-31.63925294,4171,11344
748,-43.18848156,4071,11399
749,-35.87278639,3570,9832
750,-46.72945975,3604,8833
751,-34.73150926,4271,11529
752,-41.52234482,4671,5885
753,-40.151555575,4004,9857
754,-38.78076633,3770,14503
755,-37.409977085,3237,7956
756,-36.03918784,4371,9864
757,-40.12494825,3637,12356
758,-33.14186998666667,3303,10302
759,-26.158791723333337,4438,11794
760,-19.17571346,3637,14439
761,-26.08124764,3070,9757
762,-35.79076605,3804,12571
763,-40.21687009,3470,10686
764,-44.64297413,3036,9668
765,-35.08548244,5205,14405
766,-38.7878895,4271,8901
767,-42.49029656,3437,12223
768,-40.59457017,3470,9681
769,-45.0599769,3136,9624
770,-50.22257122,3604,5747
771,-42.35019853,3370,10541
772,-43.60636515666667,4304,7247
773,-44.86253178333333,4371,12017
774,-46.11869841,3570,11521
775,-47.96357279,3303,8015
776,-45.731844595,4671,12987
777,-43.5001164,3837,8898
778,-43.212398975,3737,9886
779,-42.92468155,3437,9586
780,-42.38501176,3537,8333
781,-27.15986334,5205,11765
782,-36.277639,4271,12059
783,-37.94803676,2970,10142
784,-45.54807664,3136,8730
785,-26.36338754,3971,11070
786,-44.96556413,3437,6752
787,-38.33318856,3537,10915
788,-38.088600725000006,3704,10811
789,-37.84401289,4404,10663
790,-37.833684835,4104,12213
791,-37.82335678,4538,13438
792,-26.66641442,3403,15215
793,-16.35395322,4171,17245
794,-32.171528,3504,13171
795,-20.33727452,4338,13446
796,-42.31552427,4338,5253
797,-33.74869741,3103,8667
798,-39.59846757,4872,11731
799,-45.44823773,3537,8093
800,-45.707691503333336,4004,12639
801,-45.96714527666666,5205,10156
802,-46.22659905,3537,7846
803,-43.34414629,3670,9559
804,-40.46169353,4004,9709
805,-37.57924077,5038,11163
806,-40.25230376666666,4938,9817
807,-42.92536676333334,4605,10909
808,-45.59842976,3270,8472
809,-42.07660458,4872,12537
810,-44.54927308,3437,9293
811,-47.02194158,3537,12321
812,-50.93933973,3537,10059
813,-48.72537378,3237,10615
814,-34.565907425,5105,13593
815,-20.40644107,4838,14705
816,-26.07591069,4137,11917
817,-35.40750287,3470,15301
818,-35.74192306,3504,11747
819,-26.04395766,4471,18134
820,-27.59998471,4538,13830
821,-28.3015878,4605,15953
822,-35.61300211,4938,12168
823,-28.53210744,4304,17605
824,-26.37564779,3737,10147
825,-24.21918814,5105,11266
826,-35.503180830000005,4204,8640
827,-46.78717352,4972,8530
828,-42.45570035,3937,15990
829,-42.35019853,3704,10633
830,-41.81173426,3337,10351
831,-41.27326999,4404,14955
832,-43.38193921,5038,11115
833,-42.38501176,4304,11459
834,-41.350134405,4638,14171
835,-40.31525705,3337,6399
836,-35.7408459,4571,13816
837,-31.16643475,4638,13265
838,-30.76806059666667,3237,6263
839,-30.36968644333333,4705,12903
840,-29.97131229,3670,15351
841,-29.572938136666668,4638,18195
842,-29.17456398333333,4805,15361
843,-28.77618983,4605,14251
844,-34.284326103333335,4671,17925
845,-39.79246237666666,3537,11349
846,-45.30059865,3937,10991
847,-32.81936235,3871,12537
848,-41.84408122,4671,12913
849,-37.24474842,4838,14069
850,-35.34523816,4171,12477
851,-45.70002027,5405,15547
852,-34.86256456,4538,18357
853,-35.14590626,4204,22125
854,-35.915040105,3770,12395
855,-36.68417395,4738,15655
856,-34.46116491,4404,13965
857,-31.800821560000003,4705,14283
858,-29.14047821,4605,14361
859,-33.747786595,3704,11727
860,-30.5646141,4571,16107
861,-23.1198783,4538,16985
862,-29.91006507,4504,18687
863,-29.13288897,4304,16705
864,-38.57725261,3737,15669
865,-44.07392148,3704,14906
866,-49.40253912,3470,10321
867,-41.981164165,5572,18593
868,-34.55978921,4638,14705
869,-39.979267275,3937,14837
870,-45.39874534,3670,13887
871,-40.31525705,3637,10961
872,-34.47518572,4938,13111
873,-49.96833191,3837,12391
874,-43.64531671500001,3637,16147
875,-37.32230152,3470,13837
876,-34.41546856,3537,12713
877,-31.5086356,5405,17245
878,-45.01264224,3504,6237
879,-45.330859365,3604,10343
880,-45.64907649,4104,12575
881,-41.1126749,5372,13305
882,-36.57627331,4972,14131
883,-46.06524661,3804,11411
884,-25.13625304,3470,16853
885,-37.92713209,4471,19749
886,-27.08763099,3403,17081
887,-30.53781956,3570,12847
888,-30.67262656,4605,16217
889,-23.34290144,3837,13508
890,-24.27104436,3737,23432
891,-38.8981399,3971,13134
892,-36.6656879025,3637,13567
893,-34.433235905,3437,12625
894,-32.2007839075,4404,15089
895,-29.96833191,4504,19555
896,-35.32974147,3470,18725
897,-43.46054508,3971,15337
898,-35.70951299,3403,10478
899,-45.44823773,3871,10667
900,-43.82334959,3637,9653
901,-39.80705782,5205,18960
902,-35.79076605,5439,11971
903,-45.01264224,4004,9565
904,-46.39100565,3737,10175
905,-37.68012332,3670,12231
906,-36.72044077,3704,11391
907,-45.1554272,3303,10963
908,-39.293658725,4304,13721
909,-33.43189025,4571,16663
910,-35.721472315,4004,14601
911,-38.01105438,3637,14262
912,-57.05384207,4104,9817
913,-47.51141697,3637,11435
914,-36.39936517,4538,18220
915,-26.1347983,4571,14859
