modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,channels,sample_width,frame_rate,frame_width,length_ms,frame_count,intensity,zero_crossings_sum,mfcc_mean,mfcc_std,mfcc_min,mfcc_max,sc_mean,sc_std,sc_min,sc_max,sc_kur,sc_skew,stft_mean,stft_std,stft_min,stft_max,stft_kur,stft_skew,mean,std,min,max,kur,skew
audio-only,song,sad,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,4438,213013,,19359,-35.042236,131.51068,-737.8798,161.57228,4901.650921,2845.3149,1347.23121,12013.04526,-0.840830168,0.573909698,0.36504024,0.33302042,0.00025943,1,-0.933643727,0.663639212,2.44E-06,0.016677132,-0.17385864,0.14624023,12.33168287,-0.321409173
audio-only,speech,neutral,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3637,174575,,12597,-32.76429,160.37741,-882.76434,199.10287,6621.952371,3833.220189,1137.208692,12024.65713,-1.629960866,-0.172263224,0.55669147,0.32737958,0.001912652,1,-1.28937713,-0.290530548,-1.25E-06,0.004765363,-0.031982422,0.03668213,6.579114026,-0.28120672
audio-only,speech,calm,normal,Dogs are sitting by the door,1st,6,F,1,2,48000,2,3971,190590,,12339,-34.11762,165.02167,-973.2751,189.05966,5016.271911,3239.938157,0,12204.26901,-0.734307346,0.658634719,0.44401434,0.3315694,0,1,-1.274639747,0.261846252,1.11E-06,0.002023717,-0.013641357,0.012817383,6.717218573,-0.607559054
audio-only,,calm,strong,Kids are talking by the door,1st,6,F,1,2,48000,2,4504,216216,-54.74597369,13640,-34.821735,164.23001,-926.8722,153.92604,5481.013422,2941.101823,0,12029.89212,-0.478187283,0.790944307,0.49502066,0.3168888,0,1,-1.259394096,0.083318162,2.40E-06,0.001858913,-0.027374268,0.023895264,22.18323645,-0.90141254
audio-only,song,sad,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,5038,241842,-43.82334959,15485,-38.21092,151.0448,-863.7997,168.89973,4324.662405,3413.398873,0,12008.67905,-0.699166945,0.837324478,0.3479213,0.36205778,0,1,-1.186016488,0.581274997,-4.57E-07,0.006463115,-0.0413208,0.03186035,4.373104756,-0.37142821
audio-only,song,sad,normal,Kids are talking by the door,2nd,12,F,1,2,48000,2,4872,233833,-35.54925217,15125,-32.44183,133.17375,-747.3212,177.5268,4952.768904,3517.024753,0,12105.85308,-1.171222364,0.55315243,0.40892887,0.35375398,0,1,-1.34519466,0.327210655,1.34E-05,0.016713345,-0.1027832,0.1312561,6.267070259,-0.135285746
audio-only,speech,calm,strong,Kids are talking by the door,1st,12,F,1,2,48000,2,3971,190590,-47.83196588,10575,-33.729385,160.28496,-868.4098,207.53506,5617.712016,3838.720783,0,12312.6488,-1.405219654,0.211670707,0.49846986,0.33863714,0,1,-1.367953807,-0.053819888,-6.36E-07,0.004059061,-0.030426025,0.02142334,8.673428552,-1.076501653
audio-only,speech,fearful,strong,Kids are talking by the door,2nd,,F,1,2,48000,2,3737,179379,-22.3675877,21222,-23.537529,97.46727,-550.5658,182.44167,5423.216356,2602.968172,1237.720024,11106.55284,-0.999574304,0.295499232,0.40808603,0.32266322,5.50E-05,1,-1.053148099,0.429893318,3.90E-07,0.076158315,-0.64416504,0.63974,14.49816888,0.418744271
audio-only,speech,angry,strong,Kids are talking by the door,1st,2,F,1,2,48000,2,3904,187388,-27.46120938,14749,-25.791014,111.2614,-612.66284,193.28554,4505.596137,3298.326954,0,11998.63882,-1.161887551,0.269931111,0.40584812,0.34632233,0,1,-1.308235265,0.320235817,1.10E-05,0.04238877,-0.3635559,0.47735596,15.80259507,0.461939938
audio-only,speech,surprised,strong,Dogs are sitting by the door,1st,14,F,1,2,48000,2,3704,177778,-41.58574576,16867,-33.07317,141.03581,-771.03906,190.33499,5568.057686,4049.039722,0,12000.00003,-1.490528806,0.021250362,0.4028804,0.348614,0,1,-1.312249102,0.327833477,5.36E-07,0.008339229,-0.057769775,0.06085205,7.323569797,0.107096259
audio-only,song,happy,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,5339,256256,-31.76159144,14713,-31.906656,124.49752,-701.65155,180.64352,5122.839255,3682.708856,1211.554522,12074.04501,-1.424859909,0.519082268,0.4265559,0.3552558,0.000188019,1,-1.442767704,0.251418106,1.64E-06,0.025828224,-0.1897583,0.2331543,7.685086287,0.565459817
audio-only,song,happy,normal,Kids are talking by the door,2nd,16,F,1,2,48000,2,4705,225825,-37.01615919,15175,-32.483852,137.0792,-753.7446,175.98383,4536.722244,3286.971545,0,12089.75394,-1.078951928,0.463753223,0.35343653,0.3548418,0,1,-1.17416411,0.566300852,2.05E-06,0.014119305,-0.07962036,0.09628296,5.064567984,0.143674483
audio-only,speech,fearful,strong,Kids are talking by the door,2nd,,F,1,2,48000,2,3637,174575,-30.41385981,16499,-29.584751,118.09067,-654.24774,151.31192,5490.98391,3258.74674,0,12092.10594,-0.815219769,0.314278029,0.40407678,0.3451745,0,1,-1.273914695,0.373351068,3.10E-07,0.030172953,-0.2996521,0.2875061,16.60498764,0.23271574
audio-only,speech,angry,strong,Kids are talking by the door,1st,16,F,1,2,48000,2,3971,190591,,13547,-24.958572,109.89788,-603.2796,197.1713,4645.976944,3344.549023,0,11619.56194,-1.277233203,0.191485454,0.38923177,0.344259,0,1,-1.238657467,0.417134588,1.04E-05,0.04564144,-0.5161743,0.49108887,17.49221685,0.434482
audio-only,speech,angry,normal,Kids are talking by the door,1st,22,F,1,2,48000,2,3704,177778,-40.68014613,13467,-30.407497,138.6962,-740.3548,207.4743,6314.915199,3603.50881,1019.3607,12099.95696,-1.456303956,0.118393522,0.50066113,0.32657287,0.002786096,1,-1.363474601,0.011669785,2.30E-08,0.009254757,-0.103637695,0.102264404,22.12924802,-0.147195648
audio-only,song,happy,strong,Kids are talking by the door,2nd,22,F,1,2,48000,2,4838,232232,,15729,-30.17725,111.31816,-663.791,152.26486,5484.972995,3124.272824,1039.816948,12025.88793,-1.153154806,0.580845455,0.4166056,0.34582767,8.87E-05,1,-1.32272786,0.276681098,-1.72E-07,0.044429272,-0.2350769,0.23468018,3.712162429,-0.040633928
audio-only,speech,surprised,normal,Dogs are sitting by the door,1st,20,F,1,2,48000,2,3136,150551,-46.67212694,9267,-37.00441,162.49753,-869.93616,216.46515,4478.172163,3902.090085,0,12000.00002,-1.404698556,0.289772533,0.3777252,0.35414216,0,1,-1.33615884,0.373086175,-3.14E-07,0.004662402,-0.05908203,0.05041504,19.85653745,-0.116643551
audio-only,speech,fearful,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3604,172973,,12906,-30.775442,136.44073,-754.3952,173.71191,5951.027152,3226.58628,1097.160695,12125.14698,-1.33090717,0.165936315,0.50303555,0.3213923,0.00043088,1,-1.270527657,-0.008121928,-8.68E-08,0.012218649,-0.10888672,0.12783813,15.81825746,0.09396136
audio-only,speech,surprised,normal,Dogs are sitting by the door,1st,8,F,1,2,48000,2,3770,180981,,11446,-27.493233,140.2197,-747.36664,221.78668,5569.832935,2779.064761,852.439,11056.43104,-1.218957599,-0.000359363,0.51421916,0.34222072,0.000230485,1,-1.45381505,-0.025224033,2.40E-05,0.011592888,-0.092926025,0.08453369,8.942517357,-0.337802937
audio-only,speech,surprised,strong,Kids are talking by the door,1st,8,F,1,2,48000,2,3837,184184,-38.87482206,11703,-26.574883,135.42455,-754.2426,228.7791,5117.460334,2542.292188,954.6192419,13315.14295,-0.764269223,0.271072272,0.5135691,0.32744738,0.000263426,1,-1.347557236,0.023508211,-6.42E-05,0.011397358,-0.0748291,0.08181763,9.040513313,0.278839418
audio-only,speech,fearful,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3604,172973,-29.87694438,14759,-30.456871,114.76417,-647.6078,159.26031,6033.571744,3259.00183,1427.918449,11958.43862,-1.3904773,0.308180691,0.48443952,0.33766472,0.000378458,1,-1.380024777,0.043682088,3.23E-07,0.032085568,-0.31176758,0.36520386,15.37620215,0.159214836
audio-only,speech,surprised,strong,Kids are talking by the door,1st,,F,1,2,48000,2,3737,179379,,14461,-29.109476,122.54056,-706.82574,178.24274,4490.393267,3124.503542,0,12000.00009,-0.705063399,0.362251672,0.3740211,0.33322242,0,1,-1.024976827,0.520014448,2.73E-07,0.02143384,-0.18347168,0.2076416,12.84371049,0.544731746
audio-only,song,happy,normal,Dogs are sitting by the door,2nd,22,F,1,2,48000,2,4771,229029,,17297,-31.545048,117.67279,-704.1812,171.32025,5625.781844,3349.484317,1021.178376,12008.58362,-1.323770579,0.540662298,0.39298865,0.35862717,0.000119779,1,-1.366325997,0.398432228,3.48E-07,0.030745056,-0.19796753,0.22125244,4.904249322,0.203310794
audio-only,speech,angry,strong,Dogs are sitting by the door,1st,22,F,1,2,48000,2,4238,203404,-25.16983565,18411,-26.784155,108.86322,-617.03406,178.6691,5811.006025,3476.565708,647.948516,12318.32737,-1.331478961,0.362761903,0.4736552,0.3321667,0.000797795,1,-1.347302519,0.130706512,-3.10E-07,0.055171996,-0.5237427,0.5863037,12.99541488,0.338737753
audio-only,speech,happy,normal,Kids are talking by the door,2nd,6,F,1,2,48000,2,3604,172973,-41.18167804,14315,-34.312595,138.0458,-793.6614,205.08997,4966.106093,3310.737796,0,12062.84629,-0.600859669,0.72260099,0.39370364,0.334525,0,1,-1.140888593,0.528245315,-3.32E-06,0.008748597,-0.07366943,0.08129883,11.6578977,0.244107679
audio-only,song,angry,strong,Kids are talking by the door,1st,,F,1,2,48000,2,4504,216216,-25.45817013,20627,-27.111847,104.44275,-616.77716,166.61601,4817.782842,2496.659184,1337.676394,9816.388368,-1.241077463,0.52460422,0.41850796,0.33198258,0.000634637,1,-1.169763283,0.378094891,-1.37E-05,0.053358864,-0.38101196,0.44213867,8.397771472,0.251793619
audio-only,song,fearful,strong,Kids are talking by the door,2nd,12,F,1,2,48000,2,4137,198598,-24.61136441,10885,-25.024746,103.02069,-582.56226,164.60571,4360.080527,3322.817624,0,12157.42794,0.411774596,1.18206044,0.40151075,0.3763632,0,1,-1.48755203,0.378991382,6.65E-06,0.058813352,-0.5236206,0.5371094,11.67406665,0.348486799
audio-only,song,angry,strong,Kids are talking by the door,1st,,F,1,2,48000,2,4638,222622,,11520,-23.217209,104.37741,-604.5393,167.02277,4412.456512,3280.590274,0,12060.21325,0.450804994,1.295053898,0.44494876,0.3523196,0,1,-1.411658832,0.212477746,4.88E-05,0.06472864,-0.4928589,0.47381592,9.072842049,0.301622208
audio-only,song,fearful,strong,Kids are talking by the door,2nd,,F,1,2,48000,2,4204,201802,-27.5682496,17072,-26.808258,108.51158,-670.1166,176.89471,4371.939376,2614.460967,1309.257228,10321.25521,-0.824387017,0.854065169,0.41013694,0.34402263,0.000762495,1,-1.28404344,0.395969418,1.12E-06,0.04185916,-0.30682373,0.2855835,7.460214173,0.118450969
audio-only,speech,happy,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3737,179379,,12115,-28.940283,146.58774,-817.6706,221.0621,5527.956324,3383.471356,1176.497176,12029.99962,-1.281347477,0.252005728,0.48929572,0.3080759,0.002153034,1,-1.156459169,0.08669507,-3.51E-05,0.010531315,-0.078125,0.08279419,9.574141189,-0.380117415
audio-only,speech,sad,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3770,180981,-45.1554272,8611,-33.812977,158.08841,-849.07336,226.56104,4159.540946,3803.110904,0,13131.69835,-1.105445632,0.566836536,0.37418765,0.35881063,0,1,-1.336998256,0.42424338,-1.59E-07,0.005540688,-0.06539917,0.07650757,28.02582698,-0.012313141
audio-only,speech,disgust,normal,Kids are talking by the door,1st,,F,1,2,48000,2,3770,180981,-42.85075864,11395,-31.084473,148.69186,-811.5937,238.84357,4275.877752,3660.202178,0,13676.05503,-0.937866369,0.489035105,0.36823797,0.33996347,0,1,-1.13151491,0.488406752,-7.17E-07,0.007207163,-0.078704834,0.087249756,11.48759853,0.253445026
audio-only,song,calm,strong,Kids are talking by the door,1st,2,F,1,2,48000,2,5639,270670,,9811,-34.289692,141.07597,-780.86926,178.86443,3796.941155,3795.333448,0,15687.8015,0.358573203,1.248338426,0.30400816,0.3615393,0,1,-0.932282235,0.810936778,2.01E-06,0.012188517,-0.073150635,0.09902954,7.9011179,0.752212576
audio-only,,calm,strong,Kids are talking by the door,1st,16,F,1,2,48000,2,5072,243444,-34.87724908,15835,-32.60896,132.7379,-756.9518,185.96896,4286.623163,3246.317059,0,13556.86397,-0.747552749,0.678688555,0.33022067,0.3469583,0,1,-0.963671119,0.679457658,4.49E-06,0.01805138,-0.087524414,0.08328247,3.800207186,-0.082289901
audio-only,speech,sad,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,3637,174574,,10439,-33.640663,157.84439,-830.5095,231.42401,5011.229694,3588.647943,0,12011.91479,-1.465948645,0.131978184,0.42401144,0.33665892,0,1,-1.279773512,0.262696624,-4.76E-07,0.00485014,-0.04046631,0.04537964,13.67805013,0.458375345
audio-only,speech,disgust,normal,Kids are talking by the door,1st,2,F,1,2,48000,2,3670,176176,-45.2035486,10143,-32.417904,152.16074,-830.0886,221.62872,3816.700414,3508.252473,0,12355.14069,-0.872097746,0.634072429,0.35794312,0.33633685,0,1,-1.056505843,0.523404046,-3.05E-07,0.005508877,-0.04626465,0.04788208,13.37886449,-0.07452645
audio-only,speech,sad,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3737,179379,,15209,-32.400146,144.92406,-812.9071,231.98212,5800.435091,3525.104256,950.4400506,12041.81964,-1.452456331,0.127242676,0.47486666,0.32898492,0.000173418,1,-1.336860897,0.11749047,-1.75E-07,0.009449478,-0.06436157,0.07537842,7.156558455,0.222704679
audio-only,speech,disgust,strong,Dogs are sitting by the door,1st,2,F,1,2,48000,2,4004,192192,,13031,-30.419083,132.99924,-735.6164,211.88849,4856.12349,4130.233684,0,12269.79199,-1.371200068,0.469675395,0.4273413,0.36167753,0,1,-1.459246044,0.228693159,-1.43E-07,0.012595583,-0.0993042,0.09738159,8.892035259,-0.054825678
audio-only,,calm,normal,Dogs are sitting by the door,1st,16,F,1,2,48000,2,5072,243443,,16911,-33.29142,136.68811,-773.5065,162.0871,4842.304145,3310.679581,0,12036.18498,-1.230666753,0.434030281,0.36764908,0.35651293,0,1,-1.25288482,0.486288441,-1.99E-06,0.015731296,-0.07449341,0.08859253,3.678162612,-0.031588613
audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,5038,241842,-33.63331121,13503,-32.920807,128.07037,-727.0419,191.36234,5263.24781,3800.240335,0,12020.6843,-1.489841826,0.443072811,0.40921426,0.36378115,0,1,-1.443372539,0.325360287,1.72E-06,0.02082537,-0.15005493,0.1835022,6.515463478,0.35557465
audio-only,song,calm,normal,Dogs are sitting by the door,1st,,F,1,2,48000,2,5539,265865,-35.83988526,15813,-34.312424,135.26678,-766.0802,178.75122,4777.168584,3492.864892,0,11546.24531,-1.52035377,0.46366749,0.3884656,0.3562836,0,1,-1.322112528,0.390619933,1.76E-06,0.016153056,-0.095184326,0.10809326,4.314113812,0.358231904
audio-only,song,neutral,normal,Dogs are sitting by the door,2nd,16,F,1,2,48000,2,4571,219419,-40.28781345,13257,-35.27474,146.4274,-803.9063,193.6708,4989.704535,3821.892493,0,13041.41356,-1.486447285,0.330180609,0.35865194,0.3597272,0,1,-1.282721106,0.4928018,-7.27E-07,0.009675317,-0.052734375,0.05038452,3.950402618,0.001946996
audio-only,speech,sad,strong,Dogs are sitting by the door,2nd,,F,1,2,48000,2,3670,176176,-45.10757094,11757,-35.51098,155.55345,-835.6763,220.85562,4750.722264,4056.17495,0,12279.70443,-1.460267001,0.348102189,0.39533386,0.3593227,0,1,-1.408333468,0.322971336,-6.35E-07,0.005573401,-0.059814453,0.059936523,18.86861598,-0.096733427
audio-only,,disgust,strong,Dogs are sitting by the door,1st,,F,1,2,48000,2,4137,198598,-37.26407188,16676,-29.328186,138.37593,-769.87616,210.89961,5291.650897,3481.084745,0,11977.92252,-1.442170335,0.08220475,0.45952728,0.3380694,0,1,-1.359776455,0.127298437,-9.80E-08,0.013713691,-0.11303711,0.11755371,7.214227721,0.228321419
audio-only,speech,happy,strong,Dogs are sitting by the door,2nd,12,F,1,2,48000,2,3971,190590,-27.38643799,19295,-26.72641,114.27514,-640.32654,178.9573,6057.139426,3839.168322,0,12997.65519,-1.530285609,0.218689367,0.4368264,0.34673256,0,1,-1.356615156,0.236149817,1.42E-05,0.04274848,-0.38305664,0.4458313,9.935422197,0.114587772
audio-only,song,angry,normal,Dogs are sitting by the door,1st,12,F,1,2,48000,2,4538,217817,,18417,-31.154692,124.51176,-691.92737,180.01355,5410.432425,3407.683506,703.4469258,11509.82655,-1.547734801,0.232745728,0.4444775,0.35183683,0.000106593,1,-1.438960047,0.140593535,-4.51E-06,0.02531516,-0.20223999,0.2552185,12.79787165,0.2974211
audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,,F,1,2,48000,2,4504,216216,-41.2121015,17224,-35.068596,140.14258,-790.8064,176.49432,4771.408094,3120.597063,0,11987.97612,-0.949842223,0.590100828,0.39739224,0.35791668,0,1,-1.358049999,0.370226547,-1.41E-06,0.00869884,-0.050354004,0.065460205,5.975465225,0.118098924
audio-only,song,angry,normal,Dogs are sitting by the door,1st,,F,1,2,48000,2,4404,211411,,19057,-34.05069,133.14471,-741.8707,185.38611,4817.574947,3177.888278,0,12000.00012,-1.158977155,0.500670413,0.3712665,0.33326143,0,1,-0.971796846,0.620659535,-1.31E-07,0.015027995,-0.08633423,0.113861084,5.779963242,0.26941073
audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,12,F,1,2,48000,2,4304,206606,,12953,-28.12805,120.632744,-692.17413,178.75601,4452.419647,3618.980697,251.1614022,12173.91098,-0.172627404,1.128144129,0.49222556,0.37746644,0.000144772,1,-1.620503971,-0.012528252,-6.29E-05,0.02471005,-0.17770386,0.16494751,7.48289345,-0.022542417
audio-only,speech,happy,strong,Dogs are sitting by the door,2nd,6,F,1,2,48000,2,3604,172972,,15801,-25.614946,108.94298,-624.9911,155.53433,4453.451647,2174.968743,1836.335364,11720.17116,1.691106528,1.355290969,0.38662255,0.340288,0.000271627,1,-1.028517776,0.619178715,3.31E-05,0.04865673,-0.31658936,0.3545227,9.994649576,0.090469647
audio-only,speech,disgust,normal,Dogs are sitting by the door,1st,,F,1,2,48000,2,3804,182582,-41.39691463,13149,-31.682337,145.8726,-796.86816,210.56131,6250.720162,3852.032908,1099.802027,13468.52459,-1.581013967,0.029339045,0.51290154,0.3183314,0.008606281,1,-1.327396541,-0.012226884,2.85E-07,0.008534744,-0.10092163,0.09030151,15.5464909,0.282952861
audio-only,song,calm,strong,Dogs are sitting by the door,1st,,F,1,2,48000,2,6373,305906,,17155,-32.195225,119.355316,-721.0584,157.98068,3580.683249,2784.633282,0,12207.50496,1.27208695,1.35448747,0.2716865,0.34013057,0,1,-0.359575971,1.05386339,1.11E-06,0.021804528,-0.097351074,0.10620117,2.542245936,0.252734356
audio-only,speech,sad,normal,Dogs are sitting by the door,2nd,22,F,1,2,48000,2,3704,177778,-43.38193921,13129,-32.561337,148.68855,-838.8345,180.11179,5739.333835,3159.239517,1136.200943,12021.01679,-1.066021865,0.476545518,0.46760955,0.3272334,0.00124454,1,-1.339404509,0.181988226,-4.38E-07,0.006794011,-0.06262207,0.06512451,14.98492553,-0.177745358
audio-only,speech,sad,strong,Kids are talking by the door,2nd,22,F,1,2,48000,2,3637,174575,,12905,-32.49702,145.10724,-794.8785,188.50726,5912.023586,3560.546352,948.9121412,12001.8392,-1.490828748,0.232063597,0.4903939,0.32284895,0.000457802,1,-1.263958196,0.041833836,-1.87E-07,0.007933316,-0.0725708,0.07757568,17.21981924,-0.422061426
audio-only,song,calm,normal,Kids are talking by the door,1st,22,F,1,2,48000,2,4905,235435,-31.45891658,15069,-32.09646,122.50787,-727.4388,169.34454,5176.859323,3215.497195,976.3864396,12005.8656,-1.002532924,0.747423872,0.376726,0.35668027,6.45E-05,1,-1.269969352,0.492907978,3.25E-07,0.026750077,-0.12988281,0.13763428,3.837644498,0.106612966
audio-only,song,neutral,normal,Kids are talking by the door,2nd,,F,1,2,48000,2,4671,224224,,13159,-33.41912,126.58696,-728.08673,144.78467,5361.34861,3386.481059,980.0162854,12088.04009,-1.173517329,0.622702566,0.39191383,0.35703224,6.12E-05,1,-1.339655121,0.399780536,4.40E-06,0.022714086,-0.1293335,0.17098999,7.326246117,0.853131411
audio-only,speech,disgust,strong,Kids are talking by the door,1st,,F,1,2,48000,2,4238,203403,-39.37814543,15867,-29.87768,129.90358,-716.51434,186.04123,5973.093713,3409.272207,0,15335.79919,-1.127639439,0.366247511,0.49454334,0.3288429,0,1,-1.366515188,0.069974984,-7.67E-08,0.010759044,-0.12738037,0.11550903,18.22555389,0.069068815
audio-only,song,neutral,normal,Kids are talking by the door,2nd,,M,1,2,48000,2,4438,213013,-38.22447764,9841,-25.78127,141.13217,-783.92426,212.23328,4930.870405,3614.803494,885.3658873,11989.56196,-1.374383872,0.47122486,0.5009393,0.33861712,0.002103529,1,-1.440096584,0.017809544,4.45E-07,0.012297341,-0.066833496,0.095062256,5.33133969,0.427631721
audio-only,speech,disgust,strong,Kids are talking by the door,1st,23,M,1,2,48000,2,4071,195395,-36.36441184,11643,-28.08142,137.19661,-719.28564,205.77264,5910.171704,3740.327567,0,12146.05672,-1.132131926,0.107746556,0.5056599,0.32096586,0,1,-1.23588133,0.003012901,2.69E-07,0.015212605,-0.17562866,0.22427368,19.6720389,0.486457282
audio-only,speech,sad,strong,Kids are talking by the door,2nd,,M,1,2,48000,2,4371,209809,-42.14419939,17041,-30.048618,145.69333,-782.22406,192.43286,6671.089085,3578.095315,999.9655475,13474.7797,-1.381576239,0.02686741,0.5630134,0.30431286,0.005122787,1,-1.195399727,-0.202069444,-5.67E-07,0.00783969,-0.06802368,0.10171509,21.00512437,0.625821355
audio-only,song,calm,normal,Kids are talking by the door,1st,23,M,1,2,48000,2,4705,225826,-39.80810256,10003,-26.166862,143.43927,-796.74084,195.33765,4692.007062,3324.890866,900.513171,11598.90684,-1.213487289,0.543658639,0.47169128,0.34108475,0.001166965,1,-1.418867086,0.152464821,-1.98E-06,0.010252916,-0.05618286,0.07980347,6.760617029,0.488183886
audio-only,song,calm,strong,Dogs are sitting by the door,1st,,M,1,2,48000,2,5839,280280,,10733,-25.816036,142.78995,-807.11127,230.55585,3168.294083,3278.007114,0,13368.86013,-0.031823456,1.176062871,0.37254927,0.3498155,0,1,-1.155823564,0.586316285,7.08E-09,0.011962066,-0.0642395,0.08792114,4.66702417,0.193525848
audio-only,speech,sad,normal,Dogs are sitting by the door,2nd,23,M,1,2,48000,2,3670,176176,-43.11228905,11669,-29.790924,156.50166,-856.19305,227.65837,5517.897439,4148.548122,0,12865.42776,-1.523608301,0.083450465,0.47620508,0.34427652,0,1,-1.426529796,0.0616513,5.44E-07,0.007014929,-0.046325684,0.055023193,9.133170012,0.770390129
audio-only,,disgust,normal,Dogs are sitting by the door,1st,,M,1,2,48000,2,3470,166566,,11019,-31.863516,157.51616,-833.10565,212.7374,7022.28929,3748.691244,0,12105.94002,-1.311862108,-0.305245721,0.5792989,0.29842508,0,1,-1.053716335,-0.285030968,5.18E-07,0.005764304,-0.060668945,0.06930542,19.91151119,0.400359082
audio-only,song,fearful,normal,Dogs are sitting by the door,2nd,,M,1,2,48000,2,4371,209809,,12833,-30.402412,154.10025,-848.78986,216.10764,5578.923983,4164.513531,1000.616419,12048.7184,-1.749273394,0.212700666,0.5129695,0.34989595,0.000569283,1,-1.512808648,-0.09213242,-6.46E-07,0.007098543,-0.044128418,0.041412354,4.735052588,0.076130982
